"","V1","C_AICC","T0","Tm","c","bAICC","Snl_B0","Snl_E","Snl_E_h","Snl_T_h","Snl_AICC","Snl_Converge","Snh_B0","Snh_E","Snh_E_l","Snh_T_l","Snh_AICC","Snh_Converge","Full_B0","Full_E_h","Full_E_l","Full_E","Full_T_l","Full_T_h","Full_AICC","Full_Converge","Sample_size"
"820","MTD4058",52.8569992942751,0,37.1538098022886,0.0138067197714266,55.1294910564454,6.83295374481069,0.611585006793051,2.80394230853926,303.548827626822,57.7401357709682,0.9,25.3096523235449,0,-0.577978761318524,279.4632083394,78.3671833717228,1,25.4433733345941,2.7904516010167,-0.577978761318524,0.284908798988036,291.271518359501,303.701906847886,101.862490904776,1,7
"821","MTD4059",79.6310154832445,2.36496643534459,26.1645959447562,0.0363473679476032,73.0434676706987,5.65846531902564,0.849597309298032,7.75148965215682,297.603496387978,74.3259496148858,0.9,33.1395147110245,0,-0.736517075587654,285.295371758448,93.1359936758081,1,30.8198045897821,7.56251975162847,-0.736517075587654,0.394928796397757,293.82,297.21629647514,110.50335542534,0.3,10
"822","MTD4061",47.8091180083907,0,29.0190142145644,0.107362619865897,78.924142511716,31.8679985725711,1.58284857554918,2.8643243831009,288.352761736338,82.8762438978981,0.85,94.8846237355055,0,-2.27643386121147,278.915206415414,94.9704513716699,1,192.119731351825,2.63810778358307,-2.27643386121147,0,283.029140470212,295.93763693254,129.643465938697,0.2,6
"823","MTD4062",75.5765101007582,0,32.8070921533304,0.18749897434273,87.2119859459723,80.8680490814577,0.992981307792174,2.0274588273438,292.965,84.0058355416735,0.85,219.841700264236,0,-0.989713050922474,276.2529439029,100.896051936473,0.9,196.108424750533,1.6876339442469,-0.989713050922474,0.616785029442166,281.920586277807,292.965,131.550862221721,0.85,6
"824","MTD4063",86.1786960175092,0,32.9994085530895,0.329841713029239,87.9703791378973,151.384662881814,0.611449728544434,4.56576998272896,301.315261998593,95.1828832437319,0.9,368.190094108673,0,-1.00030523335874,277.288846398049,108.331012525051,1,537.394125244189,4.71805315297083,-1.00030523335874,0.146361635931292,285.59970541147,302.340436791996,142.049139966354,0.8,6
"825","MTD4071",13.4094361040584,0,35.0004367506455,0.000738114325847974,20.0148517776345,0.812301210553296,0.208193849960035,5.21358172440041,304.170122244345,8.22249638009175,1,1.0329632423127,0,-0.204188360049586,191.663829371418,37.1791300704905,0.7,1.63809032637482,5.16622264029246,-0.204188360049586,0.122253421528665,279.566425043765,303.589765574025,58.1387802942396,0.85,6
"826","MTD4094",18.2013341063285,0,30.175161671324,0.00181941220025653,34.480742641275,0.914582041974215,0.503152612199014,1.06113894974795,303.323,27.6565833828463,0.95,3.11589436709359,0.101114091662869,-0.342489784571478,291.440585063479,30.5558078684527,0.9,1.6465025207613,0.950431644910849,-0.342489784571478,0.367529514092463,274.266027152791,303.323,77.5093968945806,0.8,6
"827","MTD4220",95.5462970458694,0,40,0.142380876675941,129.473383215194,109.438084482933,0.384563646366652,1.84561053690097,314.238950600747,109.829787139617,1,332.078162097434,0,-0.370578441434825,272.376527860624,132.619460772246,0.8,351.855963661804,1.86115611163705,-0.370578441434825,0.177577286221913,294.239813641186,314.494488201504,146.836174030726,1,9
"828","MTD2099",46.3738635096605,12.756837738694,35.3019816684593,0.0138876290240475,36.1826458679522,0.574394840477298,1.17756529160451,3.82038814976709,303.15,42.0660224133341,1,14.1192597835986,0,-0.901107891011403,291.87128128502,64.9535017611122,1,1.54484471591429,3.6314731522241,-0.901107891011403,0.911423783268659,287.822265430068,303.15,92.4319621798921,0.95,6
"829","MTD2101",-78.8191649772925,0,36.8163853225992,3.24033340884614e-07,-82.4102005981932,0.000155859687756222,0.639945094427059,1.31753894674527,303.15,-78.0097468991449,0.65,0.000989659719006548,0.0326449480107933,-0.410951683531097,296.565155001012,-66.3853417624172,1,0.000328497350057557,1.2143863625643,-0.410951683531097,0.46255746861328,280.979791454026,303.15,-28.1150199131395,1,6
